fid,cleabs,code_hydrographique,nature,toponyme,statut_du_toponyme,importance,date_creation,date_modification,date_d_apparition,date_de_confirmation,sources,identifiants_sources,statut,influence_de_la_maree,caractere_permanent,altitude_moyenne,referentiel_de_l_altitude_moyenne,mode_d_obtention_de_l_altitude_moy,precision_de_l_altitude_moyenne,hauteur_d_eau_maximale,mode_d_obtention_de_la_hauteur,commentaire_sur_l_objet_hydro
"1",PLANDEAU0000000038467726,06P0000000038467726,Retenue,Dins d'Illes,Validé,"5",2006/11/02 06:49:53,2019/10/14 11:07:58,,,,,Validé,,vrai,,,,,,,
"2",PLANDEAU0000000038467738,06P0000000038467738,Retenue,Estany de l'Angle,Validé,"5",2006/11/02 06:49:53,2021/01/31 22:58:36,,,,,Validé,,vrai,,,,,,,
"3",PLANDEAU0000000040207534,06P0000000040207534,Lac,Étang du Mas de l'Ange,Validé,"5",2006/11/22 12:22:15,2018/06/15 10:54:04,,,,,Validé,,vrai,,,,,,,
"4",PLANDEAU0000000040207544,06P0000000040207544,Lac,la Petite Camargue,Validé,"5",2006/11/22 12:22:15,2021/01/31 22:58:36,,,,,Validé,,faux,,,,,,,
"5",PLANDEAU0000000040207546,06P0000000040207546,Lac,Étang de l'Olivier,Validé,"4",2006/11/22 12:22:15,2021/01/31 22:58:36,,,,,Validé,,vrai,,,,,,,
"6",PLANDEAU0000000040207554,06P0000000040207554,Lac,Palunette,Validé,"4",2006/11/22 12:22:15,2018/06/15 10:54:04,,,,,Validé,,faux,,,,,,,
"7",PLANDEAU0000000040207555,06P0000000040207555,Lac,la Manche de la Braude,Validé,"5",2006/11/22 12:22:15,2018/06/15 10:54:04,,,,,Validé,,faux,,,,,,,
"8",PLANDEAU0000000040207561,06P0000000040207561,Lac,Baisse Vidal,Validé,"5",2006/11/22 12:22:15,2018/06/15 10:54:04,,,,,Validé,,vrai,,,,,,,
"9",PLANDEAU0000000040207571,06P0000000040207571,Lac,Étang de Tagès,Validé,"5",2006/11/22 12:22:15,2018/06/15 10:54:04,,,,,Validé,,faux,,,,,,,
"10",PLANDEAU0000000040207591,06P0000000040207591,Lac,les Sangliers,Validé,"5",2006/11/22 12:22:15,2018/06/15 10:54:04,,,,,Validé,,faux,,,,,,,
"11",PLANDEAU0000000040207593,06P0000000040207593,Lac,la Fangouze,Validé,"4",2006/11/22 12:22:15,2018/06/15 10:54:04,,,,,Validé,,vrai,,,,,,,
"12",PLANDEAU0000000040207595,06P0000000040207595,Lac,le Tonneau,Validé,"5",2006/11/22 12:22:15,2018/06/15 10:54:04,,,,,Validé,,faux,,,,,,,
"13",PLANDEAU0000000040207598,06P0000000040207598,Lac,Baisse de la Dame,Validé,"5",2006/11/22 12:22:15,2018/06/15 10:54:04,,,,,Validé,,faux,,,,,,,
"14",PLANDEAU0000000040207601,06P0000000040207601,Lac,Baisse du Renard,Validé,"5",2006/11/22 12:22:15,2018/06/15 10:54:04,,,,,Validé,,faux,,,,,,,
"15",PLANDEAU0000000040207605,06P0000000040207605,Lac,Baisse Salée,Validé,"4",2006/11/22 12:22:15,2018/06/15 10:54:04,,,,,Validé,,faux,,,,,,,
"16",PLANDEAU0000000040207606,06P0000000040207606,Lac,Baisse de Mornès,Validé,"4",2006/11/22 12:22:15,2018/06/15 10:54:04,,,,,Validé,,vrai,,,,,,,
"17",PLANDEAU0000000040207608,06P0000000040207608,Lac,Baisse des Souchets,Validé,"5",2006/11/22 12:22:15,2018/06/15 10:54:04,,,,,Validé,,faux,,,,,,,
"18",PLANDEAU0000000040207610,06P0000000040207610,Lac,Baisses de Saxi,Validé,"4",2006/11/22 12:22:15,2018/06/15 10:54:04,,,,,Validé,,faux,,,,,,,
"19",PLANDEAU0000000040207641,06P0000000040207641,Lac,Saline,Validé,"4",2006/11/22 12:22:15,2018/06/15 10:54:04,,,,,Validé,,vrai,,,,,,,
"20",PLANDEAU0000000040207642,06P0000000040207642,Lac,Baisse des Tirasses,Validé,"5",2006/11/22 12:22:15,2018/06/15 10:54:04,,,,,Validé,,vrai,,,,,,,
"21",PLANDEAU0000000040207643,06P0000000040207643,Lac,Baisse de Saint-Seren,Validé,"4",2006/11/22 12:22:15,2018/06/15 10:54:04,,,,,Validé,,faux,,,,,,,
